item_id,Title,Director,Stars,IMDB,Category,Duration,Censor,Released,videoID,thumbnail,Final Emotion
38,The Wolf of Wall Street,MartinScorsese,"LeonardoDiCaprio, JonahHill, MargotRobbie, MatthewMcConaughey",8.2,"Biography,Comedy,Crime",180min,A,2013,xnwCUaOriJs,https://img.youtube.com/vi/xnwCUaOriJs/maxresdefault.jpg,Angry
39,Requiem for a Dream,DarrenAronofsky,"EllenBurstyn, JaredLeto, JenniferConnelly, MarlonWayans",8.3,Drama,102min,A,2000,Im6wqgSjV74,https://img.youtube.com/vi/Im6wqgSjV74/maxresdefault.jpg,Neutral
40,Heat,MichaelMann,"AlPacino, RobertDeNiro, ValKilmer, JonVoight",8.3,"Action,Crime,Drama",170min,A,1995,rfTgO9rpqck,https://img.youtube.com/vi/rfTgO9rpqck/maxresdefault.jpg,Angry
41,Back to the Future,RobertZemeckis,"MichaelJ.Fox, ChristopherLloyd, LeaThompson, CrispinGlover",8.5,"Adventure,Comedy,Sci-Fi",116min,U,1985,FWG3Dfss3Jc,https://img.youtube.com/vi/FWG3Dfss3Jc/maxresdefault.jpg,Happy
42,Blade Runner 2049,DenisVilleneuve,"HarrisonFord, RyanGosling, AnadeArmas, DaveBautista",8,"Action,Drama,Mystery",164min,UA,2017,gCcx85zbxz4,https://img.youtube.com/vi/gCcx85zbxz4/maxresdefault.jpg,Angry
43,Taxi Driver,MartinScorsese,"RobertDeNiro, JodieFoster, CybillShepherd, AlbertBrooks",8.2,"Crime,Drama",114min,A,1976,PHPmnoaqOrg,https://img.youtube.com/vi/PHPmnoaqOrg/maxresdefault.jpg,Angry
44,Fight Club,DavidFincher,"BradPitt, EdwardNorton, MeatLoaf, ZachGrenier",8.8,Drama,139min,A,1999,vziBycU6MEE,https://img.youtube.com/vi/vziBycU6MEE/maxresdefault.jpg,Neutral
45,Rogue One,GarethEdwards,"FelicityJones, DiegoLuna, AlanTudyk, DonnieYen",7.8,"Action,Adventure,Sci-Fi",133min,UA,2016,frdj1zb9sMY,https://img.youtube.com/vi/frdj1zb9sMY/maxresdefault.jpg,Angry
46,Watchmen,ZackSnyder,"JackieEarleHaley, PatrickWilson, CarlaGugino, MalinAkerman",7.6,"Action,Drama,Mystery",162min,A,2009,wglmbroElU0,https://img.youtube.com/vi/wglmbroElU0/maxresdefault.jpg,Angry
47,The Godfather Part II,FrancisFordCoppola,"AlPacino, RobertDeNiro, RobertDuvall, DianeKeaton",9,"Crime,Drama",202min,A,1974,lWH9QTDNoCM,https://img.youtube.com/vi/lWH9QTDNoCM/maxresdefault.jpg,Angry
