item_id,Title,Director,Stars,IMDB,Category,Duration,Censor,Released,videoID,thumbnail,Final Emotion
119,Chinatown,RomanPolanski,"JackNicholson, FayeDunaway, JohnHuston, PerryLopez",8.2,"Drama,Mystery,Thriller",130min,UA,1974,oOXxsYHJYzU,https://img.youtube.com/vi/oOXxsYHJYzU/maxresdefault.jpg,Sad
120,Dead Poets Society,PeterWeir,"RobinWilliams, RobertSeanLeonard, EthanHawke, JoshCharles",8.1,"Comedy,Drama",128min,U,1989,ye4KFyWu2do,https://img.youtube.com/vi/ye4KFyWu2do/maxresdefault.jpg,Happy
121,Raiders of the Lost Ark,StevenSpielberg,"HarrisonFord, KarenAllen, PaulFreeman, JohnRhys-Davies",8.4,"Action,Adventure",115min,A,1981,mC1ikwQ5Zgc,https://img.youtube.com/vi/mC1ikwQ5Zgc/maxresdefault.jpg,Angry
122,Drive,NicolasWindingRefn,"RyanGosling, CareyMulligan, BryanCranston, AlbertBrooks",7.8,"Action,Drama",100min,A,2011,3P-wT723kYs,https://img.youtube.com/vi/3P-wT723kYs/maxresdefault.jpg,Angry
123,The Sandlot,DavidMickeyEvans,"TomGuiry, MikeVitar, ArtLaFleur, PatrickRenna",7.8,"Comedy,Drama,Family",101min,U,1993,iXOOL6SygW8,https://img.youtube.com/vi/iXOOL6SygW8/maxresdefault.jpg,Happy
124,The Truman Show,PeterWeir,"JimCarrey, EdHarris, LauraLinney, NoahEmmerich",8.2,"Comedy,Drama",103min,U,1998,dlnmQbPGuls,https://img.youtube.com/vi/dlnmQbPGuls/maxresdefault.jpg,Happy
125,The Terminator,JamesCameron,"ArnoldSchwarzenegger, LindaHamilton, MichaelBiehn, PaulWinfield",8.1,"Action,Sci-Fi",107min,UA,1984,k64P4l2Wmeg,https://img.youtube.com/vi/k64P4l2Wmeg/maxresdefault.jpg,Angry
126,The Shining,StanleyKubrick,"JackNicholson, ShelleyDuvall, DannyLloyd, ScatmanCrothers",8.4,"Drama,Horror",146min,A,1980,HkRRQ2KjUGE,https://img.youtube.com/vi/HkRRQ2KjUGE/maxresdefault.jpg,Neutral
127,A Clockwork Orange,StanleyKubrick,"MalcolmMcDowell, PatrickMagee, MichaelBates, WarrenClarke",8.3,"Crime,Sci-Fi",136min,A,1971,T54uZPI4Z8A,https://img.youtube.com/vi/T54uZPI4Z8A/maxresdefault.jpg,Angry
128,There Will Be Blood,PaulThomasAnderson,"DanielDay-Lewis, PaulDano, CiaránHinds, MartinStringer",8.2,Drama,158min,A,2007,FeSLPELpMeM,https://img.youtube.com/vi/FeSLPELpMeM/maxresdefault.jpg,Neutral
129,Airplane!,"JimAbrahams,","JerryZucker, , RobertHays, JulieHagerty, LeslieNielsen, KareemAbdul-Jabbar",7.7,Comedy,88min,U,1980,WqLL0-xBF8g,https://img.youtube.com/vi/WqLL0-xBF8g/maxresdefault.jpg,Happy
130,E.T. the Extra-Terrestrial,StevenSpielberg,"HenryThomas, DrewBarrymore, PeterCoyote, DeeWallace",7.9,"Adventure,Family,Sci-Fi",115min,U,1982,qYAETtIIClk,https://img.youtube.com/vi/qYAETtIIClk/maxresdefault.jpg,Happy
131,Toy Story,JohnLasseter,"TomHanks, TimAllen, DonRickles, JimVarney",8.3,"Animation,Adventure,Comedy",81min,U,1995,7__sKqLaTMc,https://img.youtube.com/vi/7__sKqLaTMc/maxresdefault.jpg,Happy
132,Batman Begins,ChristopherNolan,"ChristianBale, MichaelCaine, KenWatanabe, LiamNeeson",8.2,"Action,Crime,Drama",140min,UA,2005,neY2xVmOfUM,https://img.youtube.com/vi/neY2xVmOfUM/maxresdefault.jpg,Angry
133,A Beautiful Mind,RonHoward,"RussellCrowe, EdHarris, JenniferConnelly, ChristopherPlummer",8.2,"Biography,Drama",135min,UA,2001,9wZM7CQY130,https://img.youtube.com/vi/9wZM7CQY130/maxresdefault.jpg,Neutral
134,The Longest Day,"KenAnnakin,","GerdOswald, BernhardWicki, DarrylF.Zanuck, , JohnWayne, RobertRyan, RichardBurton, HenryFonda",7.7,"Action,Drama,History",178min,U,1962,3KdNUlLzTvA,https://img.youtube.com/vi/3KdNUlLzTvA/maxresdefault.jpg,Angry
135,Iron Man,JonFavreau,"RobertDowneyJr., GwynethPaltrow, TerrenceHoward, JeffBridges",7.9,"Action,Adventure,Sci-Fi",126min,UA,2008,CKcTN3oL6mA,https://img.youtube.com/vi/CKcTN3oL6mA/maxresdefault.jpg,Angry
136,Zombieland,RubenFleischer,"JesseEisenberg, EmmaStone, WoodyHarrelson, AbigailBreslin",7.6,"Action,Comedy,Horror",88min,A,2009,8m9EVP8X7N8,https://img.youtube.com/vi/8m9EVP8X7N8/maxresdefault.jpg,Angry
137,Atonement,JoeWright,"KeiraKnightley, JamesMcAvoy, BrendaBlethyn, SaoirseRonan",7.8,"Drama,Mystery,Romance",123min,UA,2007,zRlkHu-R7yI,https://img.youtube.com/vi/zRlkHu-R7yI/maxresdefault.jpg,Sad
138,Good Will Hunting,GusVanSant,"RobinWilliams, MattDamon, BenAffleck, StellanSkarsgård",8.3,"Drama,Romance",126min,U,1997,Z2uPXilJlic,https://img.youtube.com/vi/Z2uPXilJlic/maxresdefault.jpg,Happy
139,The Usual Suspects,BryanSinger,"KevinSpacey, GabrielByrne, ChazzPalminteri, StephenBaldwin",8.5,"Crime,Drama,Mystery",106min,A,1995,oiXdPolca5w,https://img.youtube.com/vi/oiXdPolca5w/maxresdefault.jpg,Angry
140,The Lion King,"RogerAllers,",", MatthewBroderick, JeremyIrons, JamesEarlJones, WhoopiGoldberg",8.5,"Animation,Adventure,Drama",88min,U,1994,7TavVZMewpY,https://img.youtube.com/vi/7TavVZMewpY/maxresdefault.jpg,Happy
141,The Avengers,JossWhedon,"RobertDowneyJr., ChrisEvans, ScarlettJohansson, JeremyRenner",8,"Action,Adventure,Sci-Fi",143min,UA,2012,eOrNdBpGMv8,https://img.youtube.com/vi/eOrNdBpGMv8/maxresdefault.jpg,Angry
142,Sen to Chihiro no kamikakushi,HayaoMiyazaki,"DaveighChase, SuzannePleshette, MiyuIrino, RumiHiiragi",8.6,"Animation,Adventure,Family",125min,U,2001,vMboypSkj3c,https://img.youtube.com/vi/vMboypSkj3c/maxresdefault.jpg,Happy
143,Oldeuboi,ParkChan-wook,"ChoiMin-sik, YooJi-Tae, KangHye-jeong, KimByeong-Ok",8.4,"Action,Drama,Mystery",101min,A,2003,bM3B2fC9LS8,https://img.youtube.com/vi/bM3B2fC9LS8/maxresdefault.jpg,Angry
144,The Sound of Music,RobertWise,"JulieAndrews, ChristopherPlummer, EleanorParker, RichardHaydn",8.1,"Biography,Drama,Family",172min,U,1965,drnBMAEA3AM,https://img.youtube.com/vi/drnBMAEA3AM/maxresdefault.jpg,Happy
145,K.G.F: Chapter 1,PrashanthNeel,"Yash, SrinidhiShetty, RamachandraRaju, ArchanaJois",8.2,"Action,Crime,Drama",156min,UA,2018,ULEQb_l-N08,https://img.youtube.com/vi/ULEQb_l-N08/maxresdefault.jpg,Angry
146,Jaws,StevenSpielberg,"RoyScheider, RobertShaw, RichardDreyfuss, LorraineGary",8.1,"Adventure,Thriller",124min,A,1975,cIPUpEGRcMg,https://img.youtube.com/vi/cIPUpEGRcMg/maxresdefault.jpg,Sad
147,Star Trek,J.J.Abrams,"ChrisPine, ZacharyQuinto, SimonPegg, LeonardNimoy",7.9,"Action,Adventure,Sci-Fi",127min,UA,2009,hjDummiFuMw,https://img.youtube.com/vi/hjDummiFuMw/maxresdefault.jpg,Angry
148,Oceans Eleven,StevenSoderbergh,"GeorgeClooney, BradPitt, JuliaRoberts, MattDamon",7.7,"Crime,Thriller",116min,UA,2001,imm6OR605UI,https://img.youtube.com/vi/imm6OR605UI/maxresdefault.jpg,Angry
149,Superbad,GregMottola,"MichaelCera, JonahHill, ChristopherMintz-Plasse, BillHader",7.6,Comedy,113min,A,2007,4eaZ_48ZYog,https://img.youtube.com/vi/4eaZ_48ZYog/maxresdefault.jpg,Happy
150,The Sixth Sense,M.NightShyamalan,"BruceWillis, HaleyJoelOsment, ToniCollette, OliviaWilliams",8.2,"Drama,Mystery,Thriller",107min,A,1999,3-ZP95NF_Wk,https://img.youtube.com/vi/3-ZP95NF_Wk/maxresdefault.jpg,Sad
151,About Time,RichardCurtis,"DomhnallGleeson, RachelMcAdams, BillNighy, LydiaWilson",7.8,"Comedy,Drama,Fantasy",123min,16,2013,T7A810duHvw,https://img.youtube.com/vi/T7A810duHvw/maxresdefault.jpg,Happy
152,Blue Velvet,DavidLynch,"IsabellaRossellini, KyleMacLachlan, DennisHopper, LauraDern",7.7,"Crime,Drama,Mystery",120min,A,1986,vZGoj_6MYNQ,https://img.youtube.com/vi/vZGoj_6MYNQ/maxresdefault.jpg,Angry
153,Little Women,GretaGerwig,"SaoirseRonan, EmmaWatson, FlorencePugh, ElizaScanlen",7.8,"Drama,Romance",135min,U,2019,AST2-4db4ic,https://img.youtube.com/vi/AST2-4db4ic/maxresdefault.jpg,Happy
154,Eternal Sunshine of the Spotless Mind,MichelGondry,"JimCarrey, KateWinslet, TomWilkinson, GerryRobertByrne",8.3,"Drama,Romance,Sci-Fi",108min,UA,2004,yE-f1alkq9I,https://img.youtube.com/vi/yE-f1alkq9I/maxresdefault.jpg,Happy
155,Casino,MartinScorsese,"RobertDeNiro, SharonStone, JoePesci, JamesWoods",8.2,"Crime,Drama",178min,A,1995,_9obz81_Zgg,https://img.youtube.com/vi/_9obz81_Zgg/maxresdefault.jpg,Angry
156,Office Space,MikeJudge,"RonLivingston, JenniferAniston, DavidHerman, AjayNaidu",7.7,Comedy,89min,R,1999,jsLUidiYm0w,https://img.youtube.com/vi/jsLUidiYm0w/maxresdefault.jpg,Happy
157,Platoon,OliverStone,"CharlieSheen, TomBerenger, WillemDafoe, KeithDavid",8.1,"Drama,War",120min,UA,1986,ipkLYEdcUVM,https://img.youtube.com/vi/ipkLYEdcUVM/maxresdefault.jpg,Angry
158,Hidden Figures,TheodoreMelfi,"TarajiP.Henson, OctaviaSpencer, JanelleMonáe, KevinCostner",7.8,"Biography,Drama,History",127min,UA,2016,RK8xHq6dfAo,https://img.youtube.com/vi/RK8xHq6dfAo/maxresdefault.jpg,Neutral
159,The Big Lebowski,"JoelCoen,",", JeffBridges, JohnGoodman, JulianneMoore, SteveBuscemi",8.1,"Comedy,Crime",117min,UA,1998,cd-go0oBF4Y,https://img.youtube.com/vi/cd-go0oBF4Y/maxresdefault.jpg,Angry
160,The Hangover,ToddPhillips,"ZachGalifianakis, BradleyCooper, JustinBartha, EdHelms",7.7,Comedy,100min,UA,2009,tcdUhdOlz9M,https://img.youtube.com/vi/tcdUhdOlz9M/maxresdefault.jpg,Happy
161,Hamilton,ThomasKail,"Lin-ManuelMiranda, PhillipaSoo, LeslieOdomJr., RenéeEliseGoldsberry",8.4,"Biography,Drama,History",160min,12+,2020,wCMMLnbJSHU,https://img.youtube.com/vi/wCMMLnbJSHU/maxresdefault.jpg,Neutral
162,Terminator 2: Judgment Day,JamesCameron,"ArnoldSchwarzenegger, LindaHamilton, EdwardFurlong, RobertPatrick",8.6,"Action,Sci-Fi",137min,A,1991,XPtVZ69lomk,https://img.youtube.com/vi/XPtVZ69lomk/maxresdefault.jpg,Angry
163,Skyfall,SamMendes,"DanielCraig, JavierBardem, NaomieHarris, JudiDench",7.8,"Action,Adventure,Thriller",143min,UA,2012,DeumyOzKqgI,https://img.youtube.com/vi/DeumyOzKqgI/maxresdefault.jpg,Neutral
164,One Flew Over the Cuckoos Nest,MilosForman,"JackNicholson, LouiseFletcher, MichaelBerryman, PeterBrocco",8.7,Drama,133min,A,1975,OXrcDonY-B8,https://img.youtube.com/vi/OXrcDonY-B8/maxresdefault.jpg,Neutral
165,The Revenant,AlejandroG.Iñárritu,"LeonardoDiCaprio, TomHardy, WillPoulter, DomhnallGleeson",8,"Action,Adventure,Drama",156min,A,2015,LoebZZ8K5N0,https://img.youtube.com/vi/LoebZZ8K5N0/maxresdefault.jpg,Angry
166,Wind River,TaylorSheridan,"ElizabethOlsen, JeremyRenner, GrahamGreene, KelseyAsbille",7.7,"Crime,Drama,Mystery",107min,R,2017,s7WuKdVhrmA,https://img.youtube.com/vi/s7WuKdVhrmA/maxresdefault.jpg,Angry
167,Sicario,DenisVilleneuve,"EmilyBlunt, JoshBrolin, BenicioDelToro, JonBernthal",7.6,"Action,Crime,Drama",121min,A,2015,G8tlEcnrGnU,https://img.youtube.com/vi/G8tlEcnrGnU/maxresdefault.jpg,Angry
168,The Imitation Game,MortenTyldum,"BenedictCumberbatch, KeiraKnightley, MatthewGoode, AllenLeech",8,"Biography,Drama,Thriller",114min,UA,2014,nuPZUUED5uk,https://img.youtube.com/vi/nuPZUUED5uk/maxresdefault.jpg,Sad
169,Trainspotting,DannyBoyle,"EwanMcGregor, EwenBremner, JonnyLeeMiller, KevinMcKidd",8.1,Drama,93min,A,1996,8LuxOYIpu-I,https://img.youtube.com/vi/8LuxOYIpu-I/maxresdefault.jpg,Neutral
170,The Last Samurai,EdwardZwick,"TomCruise, KenWatanabe, BillyConnolly, WilliamAtherton",7.8,"Action,Drama",154min,UA,2003,T50_qHEOahQ,https://img.youtube.com/vi/T50_qHEOahQ/maxresdefault.jpg,Angry
171,Love Actually,RichardCurtis,"HughGrant, MartineMcCutcheon, LiamNeeson, LauraLinney",7.6,"Comedy,Drama,Romance",135min,A,2003,H9Z3_ifFheQ,https://img.youtube.com/vi/H9Z3_ifFheQ/maxresdefault.jpg,Happy
172,Catch Me If You Can,StevenSpielberg,"LeonardoDiCaprio, TomHanks, ChristopherWalken, MartinSheen",8.1,"Biography,Crime,Drama",141min,A,2002,MsRYa6UWzAo,https://img.youtube.com/vi/MsRYa6UWzAo/maxresdefault.jpg,Angry
173,Boogie Nights,PaulThomasAnderson,"MarkWahlberg, JulianneMoore, BurtReynolds, LuisGuzmán",7.9,Drama,155min,18,1997,YN7pcEa83dU,https://img.youtube.com/vi/YN7pcEa83dU/maxresdefault.jpg,Neutral
174,Moana,"RonClements,","DonHall, ChrisWilliams, , ""AuliiCravalho,"", DwayneJohnson, RachelHouse, TemueraMorrison",7.6,"Animation,Adventure,Comedy",107min,U,2016,cPAbx5kgCJo,https://img.youtube.com/vi/cPAbx5kgCJo/maxresdefault.jpg,Happy
175,Donnie Darko,RichardKelly,"JakeGyllenhaal, JenaMalone, MaryMcDonnell, HolmesOsborne",8,"Drama,Mystery,Sci-Fi",113min,UA,2001,ZZyBaFYFySk,https://img.youtube.com/vi/ZZyBaFYFySk/maxresdefault.jpg,Sad
176,The Exorcist,WilliamFriedkin,"EllenBurstyn, MaxvonSydow, LindaBlair, LeeJ.Cobb",8.1,Horror,122min,A,1973,bWyi3ShHxzM,https://img.youtube.com/vi/bWyi3ShHxzM/maxresdefault.jpg,Neutral
177,Ah-ga-ssi,ParkChan-wook,"KimMin-hee, HaJung-woo, ChoJin-woong, MoonSo-ri",8.1,"Drama,Romance,Thriller",145min,A,2016,qeK8KoAA31Y,https://img.youtube.com/vi/qeK8KoAA31Y/maxresdefault.jpg,Sad
178,Hauru no ugoku shiro,HayaoMiyazaki,"ChiekoBaishô, TakuyaKimura, TatsuyaGashûin, AkihiroMiwa",8.2,"Animation,Adventure,Family",119min,U,2004,UwxatzcYf9Q,https://img.youtube.com/vi/UwxatzcYf9Q/maxresdefault.jpg,Happy
179,Ratatouille,"BradBird,",", BradGarrett, LouRomano, PattonOswalt, IanHolm",8.1,"Animation,Adventure,Comedy",111min,U,2007,EC2gRvG1RlI,https://img.youtube.com/vi/EC2gRvG1RlI/maxresdefault.jpg,Happy
180,The Notebook,NickCassavetes,"GenaRowlands, JamesGarner, RachelMcAdams, RyanGosling",7.8,"Drama,Romance",123min,A,2004,FC6biTjEyZw,https://img.youtube.com/vi/FC6biTjEyZw/maxresdefault.jpg,Happy
181,Memento,ChristopherNolan,"GuyPearce, Carrie-AnneMoss, JoePantoliano, MarkBooneJunior",8.4,"Mystery,Thriller",113min,UA,2000,4CV41hoyS8A,https://img.youtube.com/vi/4CV41hoyS8A/maxresdefault.jpg,Sad
182,"Il buono, il brutto, il cattivo",SergioLeone,"ClintEastwood, EliWallach, LeeVanCleef, AldoGiuffrè",8.8,"Adventure,Western",161min,A,1966,Ie0wanLy5MI,https://img.youtube.com/vi/Ie0wanLy5MI/maxresdefault.jpg,Happy
183,Zootopia,"ByronHoward,","JaredBush, , GinniferGoodwin, JasonBateman, IdrisElba, JennySlate",8,"Animation,Adventure,Comedy",108min,U,2016,LnSYihRoGA4,https://img.youtube.com/vi/LnSYihRoGA4/maxresdefault.jpg,Happy
184,The Help,TateTaylor,"EmmaStone, ViolaDavis, OctaviaSpencer, BryceDallasHoward",8.1,Drama,146min,UA,2011,8fgub5zkBVk,https://img.youtube.com/vi/8fgub5zkBVk/maxresdefault.jpg,Neutral
185,The Fighter,DavidO.Russell,"MarkWahlberg, ChristianBale, AmyAdams, MelissaLeo",7.8,"Action,Biography,Drama",116min,UA,2010,bxV-OOIamyk,https://img.youtube.com/vi/bxV-OOIamyk/maxresdefault.jpg,Angry
186,Braveheart,MelGibson,"MelGibson, SophieMarceau, PatrickMcGoohan, AngusMacfadyen",8.4,"Biography,Drama,History",178min,A,1995,_QbWg0P5wy4,https://img.youtube.com/vi/_QbWg0P5wy4/maxresdefault.jpg,Neutral
187,The Father,FlorianZeller,"AnthonyHopkins, OliviaColman, MarkGatiss, OliviaWilliams",8.2,"Drama,Mystery",97min,UA,2020,4TZb7YfK-JI,https://img.youtube.com/vi/4TZb7YfK-JI/maxresdefault.jpg,Sad
188,Kill Bill: Vol. 1,QuentinTarantino,"UmaThurman, DavidCarradine, DarylHannah, MichaelMadsen",8.2,"Action,Crime,Drama",111min,A,2003,ecimuK20dSA,https://img.youtube.com/vi/ecimuK20dSA/maxresdefault.jpg,Angry
189,The Big Short,AdamMcKay,"ChristianBale, SteveCarell, RyanGosling, BradPitt",7.8,"Biography,Comedy,Drama",130min,A,2015,vgqG3ITMv1Q,https://img.youtube.com/vi/vgqG3ITMv1Q/maxresdefault.jpg,Happy
190,Captain America: Civil War,"AnthonyRusso,",", ChrisEvans, RobertDowneyJr., ScarlettJohansson, SebastianStan",7.8,"Action,Adventure,Sci-Fi",147min,UA,2016,5h086yEleWQ,https://img.youtube.com/vi/5h086yEleWQ/maxresdefault.jpg,Angry
191,Harry Potter and the Prisoner of Azkaban,AlfonsoCuarón,"DanielRadcliffe, EmmaWatson, RupertGrint, RichardGriffiths",7.9,"Adventure,Family,Fantasy",142min,U,2004,_P9_cg9hUZ4,https://img.youtube.com/vi/_P9_cg9hUZ4/maxresdefault.jpg,Happy
192,Ferris Buellers Day Off,JohnHughes,"MatthewBroderick, AlanRuck, MiaSara, JeffreyJones",7.8,Comedy,103min,U,1986,0ZDbKhkLxTs,https://img.youtube.com/vi/0ZDbKhkLxTs/maxresdefault.jpg,Happy
193,The Lord of the Rings: The Two Towers,PeterJackson,"ElijahWood, IanMcKellen, ViggoMortensen, OrlandoBloom",8.8,"Action,Adventure,Drama",179min,UA,2002,LbfMDwc4azU,https://img.youtube.com/vi/LbfMDwc4azU/maxresdefault.jpg,Angry
194,The Fly,DavidCronenberg,"JeffGoldblum, GeenaDavis, JohnGetz, JoyBoushel",7.6,"Drama,Horror,Sci-Fi",96min,A,1986,bdB02IufaW0,https://img.youtube.com/vi/bdB02IufaW0/maxresdefault.jpg,Neutral
195,Arrival,DenisVilleneuve,"AmyAdams, JeremyRenner, ForestWhitaker, MichaelStuhlbarg",7.9,"Drama,Mystery,Sci-Fi",116min,UA,2016,tFMo3UJ4B4g,https://img.youtube.com/vi/tFMo3UJ4B4g/maxresdefault.jpg,Sad
196,Minority Report,StevenSpielberg,"TomCruise, ColinFarrell, SamanthaMorton, MaxvonSydow",7.7,"Action,Crime,Mystery",145min,A,2002,lG7DGMgfOb8,https://img.youtube.com/vi/lG7DGMgfOb8/maxresdefault.jpg,Angry
197,The Perks of Being a Wallflower,StephenChbosky,"LoganLerman, EmmaWatson, EzraMiller, PaulRudd",8,"Drama,Romance",103min,UA,2012,n5rh7O4IDc0,https://img.youtube.com/vi/n5rh7O4IDc0/maxresdefault.jpg,Happy
198,Cidade de Deus,"FernandoMeirelles,",", AlexandreRodrigues, LeandroFirmino, MatheusNachtergaele, PhellipeHaagensen",8.6,"Crime,Drama",130min,A,2002,j5TlzAUe6kg,https://img.youtube.com/vi/j5TlzAUe6kg/maxresdefault.jpg,Angry
199,True Romance,TonyScott,"ChristianSlater, PatriciaArquette, DennisHopper, ValKilmer",7.9,"Crime,Drama,Romance",119min,A,1993,pvbEAkFbcPo,https://img.youtube.com/vi/pvbEAkFbcPo/maxresdefault.jpg,Angry
200,Nightcrawler,DanGilroy,"JakeGyllenhaal, ReneRusso, BillPaxton, RizAhmed",7.8,"Crime,Drama,Thriller",117min,A,2014,u1uP_8VJkDQ,https://img.youtube.com/vi/u1uP_8VJkDQ/maxresdefault.jpg,Angry
201,The Social Network,DavidFincher,"JesseEisenberg, AndrewGarfield, JustinTimberlake, RooneyMara",7.8,"Biography,Drama",120min,UA,2010,lB95KLmpLR4,https://img.youtube.com/vi/lB95KLmpLR4/maxresdefault.jpg,Neutral
202,Logan,JamesMangold,"HughJackman, PatrickStewart, DafneKeen, BoydHolbrook",8.1,"Action,Drama,Sci-Fi",137min,A,2017,GuMvZW0BsxM,https://img.youtube.com/vi/GuMvZW0BsxM/maxresdefault.jpg,Angry
203,Snatch,GuyRitchie,"JasonStatham, BradPitt, StephenGraham, VinnieJones",8.3,"Comedy,Crime",104min,UA,2000,9Jar2XkBboo,https://img.youtube.com/vi/9Jar2XkBboo/maxresdefault.jpg,Angry
204,Mulholland Dr.,DavidLynch,"NaomiWatts, LauraHarring, JustinTheroux, JeanneBates",7.9,"Drama,Mystery,Thriller",147min,UA,2001,jbZJ487oJlY,https://img.youtube.com/vi/jbZJ487oJlY/maxresdefault.jpg,Sad
205,American History X,TonyKaye,"EdwardNorton, EdwardFurlong, ""BeverlyDAngelo,"", JenniferLien",8.5,"Crime,Drama",119min,R,1998,XfQYHqsiN5g,https://img.youtube.com/vi/XfQYHqsiN5g/maxresdefault.jpg,Angry
206,Green Book,PeterFarrelly,"ViggoMortensen, MahershalaAli, LindaCardellini, SebastianManiscalco",8.2,"Biography,Comedy,Drama",130min,UA,2018,QkZxoko_HC0,https://img.youtube.com/vi/QkZxoko_HC0/maxresdefault.jpg,Happy
207,Willy Wonka & the Chocolate Factory,MelStuart,"GeneWilder, JackAlbertson, PeterOstrum, RoyKinnear",7.8,"Family,Fantasy,Musical",100min,U,1971,FDfic4SJ2g0,https://img.youtube.com/vi/FDfic4SJ2g0/maxresdefault.jpg,Happy
208,"O Brother, Where Art Thou?","JoelCoen,",", GeorgeClooney, JohnTurturro, TimBlakeNelson, JohnGoodman",7.7,"Adventure,Comedy,Crime",107min,U,2000,YDDEqgmGIVg,https://img.youtube.com/vi/YDDEqgmGIVg/maxresdefault.jpg,Angry
209,When Harry Met Sally...,RobReiner,"BillyCrystal, MegRyan, CarrieFisher, BrunoKirby",7.7,"Comedy,Drama,Romance",95min,UA,1989,vmSpCLefjnw,https://img.youtube.com/vi/vmSpCLefjnw/maxresdefault.jpg,Happy
210,Donnie Brasco,MikeNewell,"AlPacino, JohnnyDepp, MichaelMadsen, BrunoKirby",7.7,"Biography,Crime,Drama",127min,A,1997,yRj2FKLsQbU,https://img.youtube.com/vi/yRj2FKLsQbU/maxresdefault.jpg,Angry
211,Rain Man,BarryLevinson,"DustinHoffman, TomCruise, ValeriaGolino, GeraldR.Molen",8,Drama,133min,U,1988,mlNwXuHUA8I,https://img.youtube.com/vi/mlNwXuHUA8I/maxresdefault.jpg,Neutral
212,Jagten,ThomasVinterberg,"MadsMikkelsen, ThomasBoLarsen, AnnikaWedderkopp, LasseFogelstrøm",8.3,Drama,115min,7,2012,ieLIOBkMgAQ,https://img.youtube.com/vi/ieLIOBkMgAQ/maxresdefault.jpg,Neutral
213,Reservoir Dogs,QuentinTarantino,"HarveyKeitel, TimRoth, MichaelMadsen, ChrisPenn",8.3,"Crime,Drama,Thriller",99min,15+,1992,xerx80SWgkA,https://img.youtube.com/vi/xerx80SWgkA/maxresdefault.jpg,Angry
214,What We Do in the Shadows,"JemaineClement,",", JemaineClement, TaikaWaititi, CoriGonzalez-Macuer, JonnyBrugh",7.6,"Comedy,Horror",86min,R,2014,mfBbSwX6kEk,https://img.youtube.com/vi/mfBbSwX6kEk/maxresdefault.jpg,Happy
215,Almost Famous,CameronCrowe,"BillyCrudup, PatrickFugit, KateHudson, FrancesMcDormand",7.9,"Adventure,Comedy,Drama",122min,A,2000,1ExkEcY99X0,https://img.youtube.com/vi/1ExkEcY99X0/maxresdefault.jpg,Happy
216,The Martian,RidleyScott,"MattDamon, JessicaChastain, KristenWiig, KateMara",8,"Adventure,Drama,Sci-Fi",144min,UA,2015,ej3ioOneTy8,https://img.youtube.com/vi/ej3ioOneTy8/maxresdefault.jpg,Happy
217,Black Hawk Down,RidleyScott,"JoshHartnett, EwanMcGregor, TomSizemore, EricBana",7.7,"Action,Drama,History",144min,A,2001,I2fjGwhvg10,https://img.youtube.com/vi/I2fjGwhvg10/maxresdefault.jpg,Angry
218,Die Hard,JohnMcTiernan,"BruceWillis, AlanRickman, BonnieBedelia, ReginaldVelJohnson",8.2,"Action,Thriller",132min,A,1988,Lx3MGrafykU,https://img.youtube.com/vi/Lx3MGrafykU/maxresdefault.jpg,Angry
219,The Hateful Eight,QuentinTarantino,"SamuelL.Jackson, KurtRussell, JenniferJasonLeigh, WaltonGoggins",7.8,"Crime,Drama,Mystery",168min,A,2015,nIOmotayDMY,https://img.youtube.com/vi/nIOmotayDMY/maxresdefault.jpg,Angry
220,Fargo,"JoelCoen,",", WilliamH.Macy, FrancesMcDormand, SteveBuscemi, PeterStormare",8.1,"Crime,Thriller",98min,A,1996,setgvHG3w48,https://img.youtube.com/vi/setgvHG3w48/maxresdefault.jpg,Angry
221,Captain Fantastic,MattRoss,"ViggoMortensen, GeorgeMacKay, SamanthaIsler, AnnaliseBasso",7.8,"Comedy,Drama",118min,18,2016,D1kH4OMIOMc,https://img.youtube.com/vi/D1kH4OMIOMc/maxresdefault.jpg,Happy
222,Bound by Honor,TaylorHackford,"DamianChapa, JesseBorrego, BenjaminBratt, EnriqueCastillo",7.9,"Crime,Drama",180min,R,1993,IcUoVFCLr8w,https://img.youtube.com/vi/IcUoVFCLr8w/maxresdefault.jpg,Angry
223,The Thing,JohnCarpenter,"KurtRussell, WilfordBrimley, KeithDavid, RichardMasur",8.2,"Horror,Mystery,Sci-Fi",109min,A,1982,ebMgBIy6mTo,https://img.youtube.com/vi/ebMgBIy6mTo/maxresdefault.jpg,Sad
224,Into the Wild,SeanPenn,"EmileHirsch, VinceVaughn, CatherineKeener, MarciaGayHarden",8.1,"Adventure,Biography,Drama",148min,U,2007,XZG1FzyB8DI,https://img.youtube.com/vi/XZG1FzyB8DI/maxresdefault.jpg,Happy
225,Cast Away,RobertZemeckis,"TomHanks, HelenHunt, PaulSanchez, LariWhite",7.8,"Adventure,Drama,Romance",143min,UA,2000,5qFJDndN9GQ,https://img.youtube.com/vi/5qFJDndN9GQ/maxresdefault.jpg,Happy
226,The Game,DavidFincher,"MichaelDouglas, DeborahKaraUnger, SeanPenn, JamesRebhorn",7.7,"Drama,Mystery,Thriller",129min,UA,1997,PH34kMOjmQk,https://img.youtube.com/vi/PH34kMOjmQk/maxresdefault.jpg,Sad
227,Magnolia,PaulThomasAnderson,"TomCruise, JasonRobards, JulianneMoore, PhilipSeymourHoffman",8,Drama,188min,A,1999,oCveByMXd_0,https://img.youtube.com/vi/oCveByMXd_0/maxresdefault.jpg,Neutral
