Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
1344,Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,9.1,Happy,q4R2xRnN89A,https://img.youtube.com/vi/q4R2xRnN89A/maxresdefault.jpg
1345,Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",BollywoodSad,Josh,9.1,Sad,wuqfOlHmBdQ,https://img.youtube.com/vi/wuqfOlHmBdQ/maxresdefault.jpg
1346,Soniye,K.K.,BollywoodRomantic,Heartless,9.7,Happy,RE46-BjrhNQ,https://img.youtube.com/vi/RE46-BjrhNQ/maxresdefault.jpg
1347,Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",BollywoodDance,Hum Dil De Chuke Sanam,9.2,Happy,MCXQXuKpgKE,https://img.youtube.com/vi/MCXQXuKpgKE/maxresdefault.jpg
1348,Ehsan Tera Hoga Mujh Par,Mohammed Rafi,BollywoodRomantic,Junglee,9.6,Happy,DnIUta3hyLE,https://img.youtube.com/vi/DnIUta3hyLE/maxresdefault.jpg
1349,Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",BollywoodDance,Patiala House,9.3,Happy,jiLqPENkeZE,https://img.youtube.com/vi/jiLqPENkeZE/maxresdefault.jpg
1350,Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1,Happy,f5bEkgKTZmw,https://img.youtube.com/vi/f5bEkgKTZmw/maxresdefault.jpg
1351,Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Namastey London,9.3,Sad,ZYrykKFSAiU,https://img.youtube.com/vi/ZYrykKFSAiU/maxresdefault.jpg
1352,Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1,Happy,f5bEkgKTZmw,https://img.youtube.com/vi/f5bEkgKTZmw/maxresdefault.jpg
1353,Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,BollywoodDance,Raja Babu,8.9,Happy,fdE3R8ojF5w,https://img.youtube.com/vi/fdE3R8ojF5w/maxresdefault.jpg
1354,Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Coolie No. 1,9,Happy,I5_BhsgR9G8,https://img.youtube.com/vi/I5_BhsgR9G8/maxresdefault.jpg
1355,Awaarapan Banjarapan,M. M. Keeravani,BollywoodDance,Jism,9.4,Happy,OLbFNCJBsB0,https://img.youtube.com/vi/OLbFNCJBsB0/maxresdefault.jpg
1356,Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",BollywoodDance,Andaz Apna Apna,9.3,Happy,1H0vtkIiPbM,https://img.youtube.com/vi/1H0vtkIiPbM/maxresdefault.jpg
1357,Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",BollywoodDance,Soldier,8.5,Happy,e0crS-R2rgI,https://img.youtube.com/vi/e0crS-R2rgI/maxresdefault.jpg
1358,Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",BollywoodDance,Phir Se,9.4,Happy,iYIzVvkgkqY,https://img.youtube.com/vi/iYIzVvkgkqY/maxresdefault.jpg
1359,Saawali Si Raat,Arijit Singh,BollywoodRomantic,Barfi,9.8,Happy,eSiFi0n-u8w,https://img.youtube.com/vi/eSiFi0n-u8w/maxresdefault.jpg
1360,Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",BollywoodDance,Neerja,9.6,Happy,yRwg7QgJUHk,https://img.youtube.com/vi/yRwg7QgJUHk/maxresdefault.jpg
1361,Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",BollywoodRomantic,Wanted,9.2,Happy,lCD0Qmm3MA0,https://img.youtube.com/vi/lCD0Qmm3MA0/maxresdefault.jpg
1362,Hoshwalon Ko Khabar Kya,Jagjit Singh,BollywoodSad,Sarfarosh,9.4,Sad,hZuwe72Rtcc,https://img.youtube.com/vi/hZuwe72Rtcc/maxresdefault.jpg
1363,Ghoomar,"K.K., Sunidhi Chauhan",BollywoodDance,Chup Chup Ke,9,Happy,CU1tFtk_NFY,https://img.youtube.com/vi/CU1tFtk_NFY/maxresdefault.jpg
1364,Dil Mere,Kumar Sanu,BollywoodDance,Sooryavansham,9,Happy,d-bnf274JZo,https://img.youtube.com/vi/d-bnf274JZo/maxresdefault.jpg
1365,Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,9,Happy,Xq4Y4vXsWEA,https://img.youtube.com/vi/Xq4Y4vXsWEA/maxresdefault.jpg
1366,Musafir,Tushar Joshi,BollywoodRomantic,Jagga Jasoos,9.5,Happy,Sh3rF46yoKU,https://img.youtube.com/vi/Sh3rF46yoKU/maxresdefault.jpg
1367,Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",BollywoodDance,Devdas,9.4,Happy,oM7cZnnqOQQ,https://img.youtube.com/vi/oM7cZnnqOQQ/maxresdefault.jpg
1368,Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",BollywoodDance,I See You,9.5,Happy,ZgTKmRPWMq4,https://img.youtube.com/vi/ZgTKmRPWMq4/maxresdefault.jpg
1369,Pyar Kar,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.3,Happy,tvxXAZo1Hlg,https://img.youtube.com/vi/tvxXAZo1Hlg/maxresdefault.jpg
1370,O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Jab Pyar Kisisi Se Hota Hai,9.3,Happy,wBw9EPtDLw8,https://img.youtube.com/vi/wBw9EPtDLw8/maxresdefault.jpg
1371,Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",BollywoodDance,Hum Saath-Saath Hain,8.6,Happy,y23eknj_4y0,https://img.youtube.com/vi/y23eknj_4y0/maxresdefault.jpg
1372,Raitaa Phail Gayaa,Divya Kumar,BollywoodDance,Shaandaar,9.2,Happy,5iW9njzKDw0,https://img.youtube.com/vi/5iW9njzKDw0/maxresdefault.jpg
