Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
0,Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,8.8,Happy,_KhQT-LGb-4,https://img.youtube.com/vi/_KhQT-LGb-4/maxresdefault.jpg
1,Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Luka Chuppi,9,Happy,_cPHiwPqbqo,https://img.youtube.com/vi/_cPHiwPqbqo/maxresdefault.jpg
2,Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,9.7,Happy,jFGKJBPFdUA,https://img.youtube.com/vi/jFGKJBPFdUA/maxresdefault.jpg
3,Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,9.1,Happy,ylW9gdva7Oo,https://img.youtube.com/vi/ylW9gdva7Oo/maxresdefault.jpg
4,Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,9.2,Happy,hejXc_FSYb8,https://img.youtube.com/vi/hejXc_FSYb8/maxresdefault.jpg
5,Gali Gali,Neha Kakkar,BollywoodDance,KGF,9.1,Happy,1BVgpX4w0Wk,https://img.youtube.com/vi/1BVgpX4w0Wk/maxresdefault.jpg
6,Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,9.2,Happy,ci-NpErqrGM,https://img.youtube.com/vi/ci-NpErqrGM/maxresdefault.jpg
7,Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,9.5,Happy,pGmbUdf6lEM,https://img.youtube.com/vi/pGmbUdf6lEM/maxresdefault.jpg
8,Kamariya,Darshan Raval,BollywoodDance,Mitron,9.2,Happy,i0_m90T04uw,https://img.youtube.com/vi/i0_m90T04uw/maxresdefault.jpg
9,Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6,Happy,fTauOK8J-U8,https://img.youtube.com/vi/fTauOK8J-U8/maxresdefault.jpg
10,Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,8.8,Happy,7TRFf7uUfhQ,https://img.youtube.com/vi/7TRFf7uUfhQ/maxresdefault.jpg
11,Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,8.4,Happy,MXEMx_48G_k,https://img.youtube.com/vi/MXEMx_48G_k/maxresdefault.jpg
12,Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,9.1,Happy,VXVmtHcf2Dg,https://img.youtube.com/vi/VXVmtHcf2Dg/maxresdefault.jpg
13,Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,9.2,Happy,JFcgOboQZ08,https://img.youtube.com/vi/JFcgOboQZ08/maxresdefault.jpg
14,Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,9,Happy,YmXJp4RtBCM,https://img.youtube.com/vi/YmXJp4RtBCM/maxresdefault.jpg
15,Doori,Ranveer Singh,BollywoodDance,Gully Boy,9.7,Happy,Jv2Z9KJgYjU,https://img.youtube.com/vi/Jv2Z9KJgYjU/maxresdefault.jpg
16,Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,9.1,Happy,SAcpESN_Fk4,https://img.youtube.com/vi/SAcpESN_Fk4/maxresdefault.jpg
17,Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety,9,Happy,yIIGQB6EMAM,https://img.youtube.com/vi/yIIGQB6EMAM/maxresdefault.jpg
18,Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero,9.1,Happy,zPlR4Z3iF8A,https://img.youtube.com/vi/zPlR4Z3iF8A/maxresdefault.jpg
19,Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero,9.2,Happy,VGPmFSB8qVY,https://img.youtube.com/vi/VGPmFSB8qVY/maxresdefault.jpg
20,Dekhte Dekhte,Atif Aslam,BollywoodRomantic,Batti Gul Meter Chalu,9.5,Happy,rkWJyMhIWLo,https://img.youtube.com/vi/rkWJyMhIWLo/maxresdefault.jpg
21,Zingaat,"Ajay, Atul",BollywoodDance,Dhadak,8.6,Happy,Rd9wF5fAnVw,https://img.youtube.com/vi/Rd9wF5fAnVw/maxresdefault.jpg
22,Tareefan,Badshah,Bollywood,Veere Di Wedding,9.1,Neutral,3SWc5G8Gx7E,https://img.youtube.com/vi/3SWc5G8Gx7E/maxresdefault.jpg
23,Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Fever,9,Happy,N2-HsIYd0Go,https://img.youtube.com/vi/N2-HsIYd0Go/maxresdefault.jpg
24,Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9,Happy,xWi8nDUjHGA,https://img.youtube.com/vi/xWi8nDUjHGA/maxresdefault.jpg
25,Tere Naal Nachna,"Badshah, Sunanda Sharma",BollywoodDance,Nawabzaade,9.2,Happy,94vimg-so20,https://img.youtube.com/vi/94vimg-so20/maxresdefault.jpg
26,Dil Meri Na Sune,Atif Aslam,BollywoodRomantic,Genius,9.5,Happy,YZLKoG_vhDY,https://img.youtube.com/vi/YZLKoG_vhDY/maxresdefault.jpg
27,Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,9.4,Happy,qWnzMwT6SKo,https://img.youtube.com/vi/qWnzMwT6SKo/maxresdefault.jpg
28,Heeriye,"Deep Money, Meet Bros, Neha Bhasin",BollywoodRomantic,Race 3,8.7,Happy,Nd1RE1o_WMI,https://img.youtube.com/vi/Nd1RE1o_WMI/maxresdefault.jpg
29,Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,9.3,Happy,asYxxtiWUyw,https://img.youtube.com/vi/asYxxtiWUyw/maxresdefault.jpg
30,Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3,Happy,8p8ZIE3riEU,https://img.youtube.com/vi/8p8ZIE3riEU/maxresdefault.jpg
31,Paniyon Sa,"Atif Aslam, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.5,Happy,Jm7Satp7Zqk,https://img.youtube.com/vi/Jm7Satp7Zqk/maxresdefault.jpg
32,Milegi Milegi,Mika Singh,BollywoodDance,Stree,9.1,Happy,1xYZeDReUz4,https://img.youtube.com/vi/1xYZeDReUz4/maxresdefault.jpg
33,Morni Banke,"Guru Randhawa, Neha Kakkar",BollywoodDance,Badhaai Ho,9,Happy,1EadhOBcfI0,https://img.youtube.com/vi/1EadhOBcfI0/maxresdefault.jpg
34,Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",BollywoodDance,Namaste England,9,Happy,V8428ROKt4A,https://img.youtube.com/vi/V8428ROKt4A/maxresdefault.jpg
35,Khalibali,Shivam Pathak,BollywoodDance,Padmaavat,9.1,Happy,v7K4vGYL9zI,https://img.youtube.com/vi/v7K4vGYL9zI/maxresdefault.jpg
36,Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",BollywoodDance,Stree,8.4,Happy,PkgStlsVaqw,https://img.youtube.com/vi/PkgStlsVaqw/maxresdefault.jpg
37,Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",BollywoodDance,Badrinath Ki Dulhania,8.4,Happy,1YBl3Zbt80A,https://img.youtube.com/vi/1YBl3Zbt80A/maxresdefault.jpg
38,Cheez Badi,"Neha Kakkar, Udit Narayan",BollywoodDance,Machine,8.8,Happy,DUW4T_maiIY,https://img.youtube.com/vi/DUW4T_maiIY/maxresdefault.jpg
39,Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",BollywoodDance,Loveratri,9.2,Happy,Jh_VKJAEnUY,https://img.youtube.com/vi/Jh_VKJAEnUY/maxresdefault.jpg
40,Sweetheart,Dev Negi,BollywoodDance,Kedarnath,9.2,Happy,58r8MDf5sxQ,https://img.youtube.com/vi/58r8MDf5sxQ/maxresdefault.jpg
41,Namo Namo,Amit Trivedi,BollywoodDevotional,Kedarnath,9.6,Angry,dx4Teh-nv3A,https://img.youtube.com/vi/dx4Teh-nv3A/maxresdefault.jpg
42,Qaafirana,"Arijit Singh, Nikhita Gandhi",BollywoodRomantic,Kedarnath,9.6,Happy,ZmcBC9-wAXM,https://img.youtube.com/vi/ZmcBC9-wAXM/maxresdefault.jpg
43,Tu Hi Re,"Armaan Malik, Shashaa Tirupati",BollywoodDance,2,9,Happy,o0ntND9OZ6I,https://img.youtube.com/vi/o0ntND9OZ6I/maxresdefault.jpg
44,Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9.1,Happy,xvYBg6MWPbM,https://img.youtube.com/vi/xvYBg6MWPbM/maxresdefault.jpg
45,Galti Se Mistake,"Amit Mishra, Arijit Singh",BollywoodDance,Jagga Jasoos,8.5,Happy,05TA9jNnCdU,https://img.youtube.com/vi/05TA9jNnCdU/maxresdefault.jpg
46,Phir Mulaaqat,Jubin Nautiyal,BollywoodRomantic,Cheat India,9.5,Happy,BxOsU5cmnCU,https://img.youtube.com/vi/BxOsU5cmnCU/maxresdefault.jpg
47,Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",BollywoodDance,Baar Baar Dekho,8.5,Happy,k4yXQkG2s1E,https://img.youtube.com/vi/k4yXQkG2s1E/maxresdefault.jpg
48,Mantoiyat,Raftaar,Bollywood,Manto,9.7,Neutral,7gUAGZ30F9o,https://img.youtube.com/vi/7gUAGZ30F9o/maxresdefault.jpg
49,Nashe Si Chadh Gayi,Arijit Singh,BollywoodDance,Befikre,8.9,Happy,HoCwa6gnmM0,https://img.youtube.com/vi/HoCwa6gnmM0/maxresdefault.jpg
50,Mera Pyar Tera Pyar,Arijit Singh,BollywoodSad,Jalebi,9.6,Sad,9TLs2Dz95ZA,https://img.youtube.com/vi/9TLs2Dz95ZA/maxresdefault.jpg
51,Ding Dang,"Amit Mishra, Antara Mitra",BollywoodDance,Munna Michael,8.5,Happy,O4Qiv4F49t8,https://img.youtube.com/vi/O4Qiv4F49t8/maxresdefault.jpg
52,Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",BollywoodDance,Raabta,9.1,Happy,FQS7i2z1CoA,https://img.youtube.com/vi/FQS7i2z1CoA/maxresdefault.jpg
53,Laila Main Laila,Pawni Pandey,BollywoodDance,Raees,8.7,Happy,95I5VaR7GeU,https://img.youtube.com/vi/95I5VaR7GeU/maxresdefault.jpg
54,Ghoomar,"Shreya Ghoshal, Swaroop Khan",BollywoodDance,Padmaavat,8.6,Happy,CU1tFtk_NFY,https://img.youtube.com/vi/CU1tFtk_NFY/maxresdefault.jpg
55,Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",BollywoodDance,Yamla Pagla Deewana Phir Se,9.3,Happy,RrePfUdbY38,https://img.youtube.com/vi/RrePfUdbY38/maxresdefault.jpg
56,Pal,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Jalebi,9.7,Happy,aDFEb_W2t1Y,https://img.youtube.com/vi/aDFEb_W2t1Y/maxresdefault.jpg
57,Patola,Guru Randhawa,BollywoodDance,Black Mail,8.9,Happy,z-ZEHL4Df-A,https://img.youtube.com/vi/z-ZEHL4Df-A/maxresdefault.jpg
58,Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",BollywoodDance,Shaadi Mein Zaroor Aana,9,Happy,FjQk-2jHevs,https://img.youtube.com/vi/FjQk-2jHevs/maxresdefault.jpg
59,Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",Bollywood,Sanju,9,Neutral,lk4lraE0wxU,https://img.youtube.com/vi/lk4lraE0wxU/maxresdefault.jpg
60,Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",BollywoodDance,Baazaar,9.3,Happy,Qoddl7ElLJg,https://img.youtube.com/vi/Qoddl7ElLJg/maxresdefault.jpg
61,This Party Is Over Now,Yo Yo Honey Singh,BollywoodDance,Mitron,9.3,Happy,ZHH-jhVwgMM,https://img.youtube.com/vi/ZHH-jhVwgMM/maxresdefault.jpg
62,Heer Badnaam,Romy,BollywoodSad,Zero,9.1,Sad,GvI0BESsmZU,https://img.youtube.com/vi/GvI0BESsmZU/maxresdefault.jpg
63,Tera Hua,Atif Aslam,BollywoodRomantic,Loveratri,9,Happy,-4JV4hur1PM,https://img.youtube.com/vi/-4JV4hur1PM/maxresdefault.jpg
64,Jaan Nisaar,Arijit Singh,BollywoodRomantic,Kedarnath,9.7,Happy,vdbP_3o73qI,https://img.youtube.com/vi/vdbP_3o73qI/maxresdefault.jpg
65,Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",BollywoodRomantic,Loveratri,9.2,Happy,zYhBJoBUSYA,https://img.youtube.com/vi/zYhBJoBUSYA/maxresdefault.jpg
66,Rangtaari,"Dev Negi, Yo Yo Honey Singh",BollywoodDance,Loveratri,9.1,Happy,fqP5pTPvqZ8,https://img.youtube.com/vi/fqP5pTPvqZ8/maxresdefault.jpg
67,The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",BollywoodDance,Ok Jaanu,9,Happy,1tVL11ULjYY,https://img.youtube.com/vi/1tVL11ULjYY/maxresdefault.jpg
68,Pehli Baar,Ajay Gogavale,BollywoodRomantic,Dhadak,8.9,Happy,DAzqrQxlXTs,https://img.youtube.com/vi/DAzqrQxlXTs/maxresdefault.jpg
69,Tera Yaar Hoon Main,Arijit Singh,BollywoodSad,Sonu Ke Titu Ki Sweety,9.5,Sad,EatzcaVJRMs,https://img.youtube.com/vi/EatzcaVJRMs/maxresdefault.jpg
70,Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,9.5,Neutral,WqUXVw0WlXc,https://img.youtube.com/vi/WqUXVw0WlXc/maxresdefault.jpg
71,Chhod Diya,Arijit Singh,BollywoodSad,Baazaar,9.7,Sad,KMz2pTfRIxw,https://img.youtube.com/vi/KMz2pTfRIxw/maxresdefault.jpg
72,Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",BollywoodDance,Golmaal Again,9,Happy,FtT5PLd7IP0,https://img.youtube.com/vi/FtT5PLd7IP0/maxresdefault.jpg
73,Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",BollywoodDance,Race 3,8.1,Happy,Gop2g29j70Q,https://img.youtube.com/vi/Gop2g29j70Q/maxresdefault.jpg
74,Cham Cham,Monali Thakur,BollywoodDance,Baaghi,8.1,Happy,f6vY6tYvKGA,https://img.youtube.com/vi/f6vY6tYvKGA/maxresdefault.jpg
75,Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",BollywoodMotivational,Sanju,9.5,Angry,9iIX4PBplAY,https://img.youtube.com/vi/9iIX4PBplAY/maxresdefault.jpg
76,Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",BollywoodDance,Stree,9.1,Happy,i0_m90T04uw,https://img.youtube.com/vi/i0_m90T04uw/maxresdefault.jpg
77,Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",BollywoodDance,Badrinath Ki Dulhania,8.6,Happy,EEX_XM6SxmY,https://img.youtube.com/vi/EEX_XM6SxmY/maxresdefault.jpg
78,Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,9.4,Happy,qfdShSZZxlg,https://img.youtube.com/vi/qfdShSZZxlg/maxresdefault.jpg
79,Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",BollywoodRomantic,Baadshaho,9,Happy,q8gilwzNQEA,https://img.youtube.com/vi/q8gilwzNQEA/maxresdefault.jpg
80,The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",BollywoodDance,Ae Dil Hai Mushkil,9,Happy,kd5KqlmcHNo,https://img.youtube.com/vi/kd5KqlmcHNo/maxresdefault.jpg
81,Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,9.6,Happy,Y9ozt29tzgs,https://img.youtube.com/vi/Y9ozt29tzgs/maxresdefault.jpg
82,Sanu Ek Pal Chain,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,9.3,Happy,13z2kF6TiCc,https://img.youtube.com/vi/13z2kF6TiCc/maxresdefault.jpg
83,Ban Ja Rani,Guru Randhawa,BollywoodRomantic,Tumhari Sulu,9,Happy,hlvbDjksdCg,https://img.youtube.com/vi/hlvbDjksdCg/maxresdefault.jpg
84,Zaalima,"Arijit Singh, Harshdeep Kaur",BollywoodRomantic,Raees,9.2,Happy,lpdRqn6xwiM,https://img.youtube.com/vi/lpdRqn6xwiM/maxresdefault.jpg
85,Baarish,"Ash King, Shashaa Tirupati",BollywoodRomantic,Half Girlfriend,9.3,Happy,BNfAf4To73c,https://img.youtube.com/vi/BNfAf4To73c/maxresdefault.jpg
86,Ek Do Teen Song,Shreya Ghoshal,BollywoodDance,Baaghi 2,8.6,Happy,MS5BLS2sIDM,https://img.youtube.com/vi/MS5BLS2sIDM/maxresdefault.jpg
87,Tere Liye,"Akanksha Bhandari, Atif Aslam",BollywoodRomantic,Namaste England,9.5,Happy,AlvUuGJccKs,https://img.youtube.com/vi/AlvUuGJccKs/maxresdefault.jpg
88,Nazam Nazam,"Arko, Ayushman Khurana",BollywoodRomantic,Bareilly Ki Barfi,9.5,Happy,DK_UsATwoxI,https://img.youtube.com/vi/DK_UsATwoxI/maxresdefault.jpg
89,Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga,9,Neutral,CuI_p7a9VGs,https://img.youtube.com/vi/CuI_p7a9VGs/maxresdefault.jpg
90,O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2,9.4,Happy,YuXLN23ZGQo,https://img.youtube.com/vi/YuXLN23ZGQo/maxresdefault.jpg
91,Tere Jaisa,"Arko, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.2,Happy,n7PWDkmtigc,https://img.youtube.com/vi/n7PWDkmtigc/maxresdefault.jpg
92,Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana,9.6,Sad,BiVyN2ftrrs,https://img.youtube.com/vi/BiVyN2ftrrs/maxresdefault.jpg
93,Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,9.3,Happy,AEIVhBS6baE,https://img.youtube.com/vi/AEIVhBS6baE/maxresdefault.jpg
94,Suraiyya,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Thugs of Hindostan,7.7,Happy,vwm_gOZkyM4,https://img.youtube.com/vi/vwm_gOZkyM4/maxresdefault.jpg
95,Gold Tamba,Nakash Aziz,BollywoodDance,Batti Gul Meter Chalu,9.2,Happy,#NAME?,https://img.youtube.com/vi/-FmpUWJx1Ks/maxresdefault.jpg
96,Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,9.3,Sad,6FURuLYrR_Q,https://img.youtube.com/vi/6FURuLYrR_Q/maxresdefault.jpg
97,Prem Ratan Dhan Payo,Palak Muchhal,BollywoodRomantic,Prem Ratan Dhan Payo,7.7,Happy,bPk9bSvQQoc,https://img.youtube.com/vi/bPk9bSvQQoc/maxresdefault.jpg
98,Mohabbat,Sunidhi Chauhan,BollywoodDance,Fanney Khan,9,Happy,x6LsUu9uaL0,https://img.youtube.com/vi/x6LsUu9uaL0/maxresdefault.jpg
99,Nainowale Ne,Neeti Mohan,BollywoodRomantic,Padmaavat,9.5,Happy,xE9FBL7jUGA,https://img.youtube.com/vi/xE9FBL7jUGA/maxresdefault.jpg
100,Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade,9.4,Happy,j4UUH0IlGOc,https://img.youtube.com/vi/j4UUH0IlGOc/maxresdefault.jpg
101,Nasha,Amit Gupta,BollywoodSensual,Game Paisa Ladki,9,Neutral,jpYkoa-uE_c,https://img.youtube.com/vi/jpYkoa-uE_c/maxresdefault.jpg
102,Bulleya,"Amit Mishra, Shilpa Rao",BollywoodSad,Ae Dil Hai Mushkil,9.2,Sad,wTgrZE9RWNY,https://img.youtube.com/vi/wTgrZE9RWNY/maxresdefault.jpg
103,Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",BollywoodDance,Kapoor & Sons,9,Happy,NTHz9ephYTw,https://img.youtube.com/vi/NTHz9ephYTw/maxresdefault.jpg
104,Musafir,"Atif Aslam, Palak Muchhal",BollywoodSad,Sweetiee Weds NRI,9.4,Sad,Sh3rF46yoKU,https://img.youtube.com/vi/Sh3rF46yoKU/maxresdefault.jpg
105,Binte Dil,Arijit Singh,BollywoodDance,Padmaavat,9.4,Happy,9aoUpCXY7uk,https://img.youtube.com/vi/9aoUpCXY7uk/maxresdefault.jpg
106,Halka Halka,"Divya Kumar, Sunidhi Chauhan",BollywoodRomantic,Fanney Khan,9.1,Happy,nZhLM-FeV9A,https://img.youtube.com/vi/nZhLM-FeV9A/maxresdefault.jpg
107,Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodSad,Badrinath Ki Dulhania,9.3,Sad,5FU5j_DvZPg,https://img.youtube.com/vi/5FU5j_DvZPg/maxresdefault.jpg
108,Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",BollywoodDance,Gold,9.2,Happy,efxQli1L7T4,https://img.youtube.com/vi/efxQli1L7T4/maxresdefault.jpg
109,Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",BollywoodSensual,Hate Story 4,9.1,Neutral,G-rP4TVg7vs,https://img.youtube.com/vi/G-rP4TVg7vs/maxresdefault.jpg
110,Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",BollywoodRomantic,Kabhi Khushi Kabhie Gham,9,Happy,IBvg3WeqP1U,https://img.youtube.com/vi/IBvg3WeqP1U/maxresdefault.jpg
111,Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron,9.8,Happy,wSXGpoDGDbE,https://img.youtube.com/vi/wSXGpoDGDbE/maxresdefault.jpg
112,Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",BollywoodDance,Judwaa 2,8.9,Happy,7vkW5PNBhDU,https://img.youtube.com/vi/7vkW5PNBhDU/maxresdefault.jpg
113,Selfish,"Atif Aslam, Iulia Vantur",BollywoodRomantic,Race 3,6.8,Happy,D9kxpUcWID0,https://img.youtube.com/vi/D9kxpUcWID0/maxresdefault.jpg
114,Oonchi Hai Building,"Anu Malik, Neha Kakkar",BollywoodDance,Judwaa 2,8.9,Happy,gNN7hyUi0To,https://img.youtube.com/vi/gNN7hyUi0To/maxresdefault.jpg
115,Shikwa Nahin Kisi Se,Kumar Sanu,BollywoodSad,Naseeb,8.2,Sad,unRAnvJhksA,https://img.youtube.com/vi/unRAnvJhksA/maxresdefault.jpg
116,Sanam Re,Arijit Singh,BollywoodRomantic,Sanam Re,8.7,Happy,DS-raAyMxl4,https://img.youtube.com/vi/DS-raAyMxl4/maxresdefault.jpg
117,Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",BollywoodDance,Saajan,8.2,Happy,xXI04POpihQ,https://img.youtube.com/vi/xXI04POpihQ/maxresdefault.jpg
118,Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend,9.4,Sad,_iktURk0X-A,https://img.youtube.com/vi/_iktURk0X-A/maxresdefault.jpg
119,Suit Suit,"Arjun, Guru Randhawa",BollywoodDance,Hindi Medium,9,Happy,uQ763VvqiEM,https://img.youtube.com/vi/uQ763VvqiEM/maxresdefault.jpg
120,Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",BollywoodDance,Junooniyat,8.9,Happy,rxMmistOjCA,https://img.youtube.com/vi/rxMmistOjCA/maxresdefault.jpg
121,Ishq Di Baajiyan,Diljit Dosanjh,BollywoodRomantic,Soorma,9.9,Happy,knIiRy5aC2A,https://img.youtube.com/vi/knIiRy5aC2A/maxresdefault.jpg
122,Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",BollywoodDance,Batti Gul Meter Chalu,8.7,Happy,uvcU_pvcdj4,https://img.youtube.com/vi/uvcU_pvcdj4/maxresdefault.jpg
123,Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",BollywoodDance,Raees,8.9,Happy,WQfdwsPao9E,https://img.youtube.com/vi/WQfdwsPao9E/maxresdefault.jpg
124,Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",BollywoodRomantic,Stree,9.6,Happy,E--e8imSYM8,https://img.youtube.com/vi/E--e8imSYM8/maxresdefault.jpg
125,Nachle Na,"Guru Randhawa, Neeti Mohan",BollywoodDance,Dil Juunglee,9.5,Happy,cajMxG9Y-Dk,https://img.youtube.com/vi/cajMxG9Y-Dk/maxresdefault.jpg
126,Hatt Ja Tau,Sunidhi Chauhan,BollywoodDance,Veerey Ki Wedding,8.7,Happy,XXfTL-umTnE,https://img.youtube.com/vi/XXfTL-umTnE/maxresdefault.jpg
127,Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Roy,8.4,Happy,zpsVpnvFfZQ,https://img.youtube.com/vi/zpsVpnvFfZQ/maxresdefault.jpg
128,La La La (Baazaar),"Bilal Saeed, Neha Kakkar",BollywoodRomantic,Baazaar,9.5,Happy,H3l1B_0Jdmc,https://img.youtube.com/vi/H3l1B_0Jdmc/maxresdefault.jpg
129,Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",BollywoodSad,Genius,9.3,Sad,6sRY6DGeLIs,https://img.youtube.com/vi/6sRY6DGeLIs/maxresdefault.jpg
130,Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",BollywoodRomantic,Sanam Re,8.3,Happy,DGVJtAHzzDQ,https://img.youtube.com/vi/DGVJtAHzzDQ/maxresdefault.jpg
131,Jay-Jaykara,Kailash Kher,BollywoodSad,Baahubali 2 - The Conclusion,9.2,Sad,F-JoqgpSsBc,https://img.youtube.com/vi/F-JoqgpSsBc/maxresdefault.jpg
132,Tu Hi Hai,Rahul Mishra,Bollywood,Half Girlfriend,9.3,Neutral,KyMNLIYRsR4,https://img.youtube.com/vi/KyMNLIYRsR4/maxresdefault.jpg
133,Hawa Hawa,"Mika Singh, Prakriti Kakkar",BollywoodDance,Mubarakan,8.9,Happy,2ll4IA146YI,https://img.youtube.com/vi/2ll4IA146YI/maxresdefault.jpg
134,Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",BollywoodDance,Veere Di Wedding,8.7,Happy,79LYLnBsc8Y,https://img.youtube.com/vi/79LYLnBsc8Y/maxresdefault.jpg
135,Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",BollywoodDance,Bajirao Mastani,9.1,Happy,h6lHUn20J5g,https://img.youtube.com/vi/h6lHUn20J5g/maxresdefault.jpg
